Intersection,CrashCount,Latitude,Longitude
CST GREGORY BLVD & US 71,341,38.9979518,-94.5560381
CST E 55TH ST & US 71,260,39.0265504,-94.5542621
CST E 59TH ST & US 71,214,39.0191889,-94.5538084
CST N FLINTLOCK RD & MO 152,182,39.2449317,-94.4654506
CST FRONT ST & IS 435,158,39.1186381,-94.5666711
CST BROADWAY BLVD & CST W 31ST ST,152,39.0712078,-94.58987259999999
CST BROADWAY BLVD & CST W 39TH ST,143,39.0567419,-94.59077309999999
CST BANNISTER RD & US 71,134,39.0966226,-94.5729289
CST INDEPENDENCE AVE & CST VAN BRUNT BLVD,133,39.1054643,-94.5261147
CST NE SHOAL CREEK PKWY & MO 152,132,39.2445811,-94.487894
CST SOUTHWEST TRFY & CST W 39TH ST,131,39.0569159,-94.595396
CST W 75TH ST & CST WARD PKWY,131,38.9927973,-94.6034759
CST THE PASEO & CST TRUMAN RD,130,39.0951612,-94.564009
CST N CHURCH RD & MO 152,125,39.2446127,-94.461852
IS 435 & IS 70,123,39.1945658,-94.76269
CST HOLMES RD & IS 435,115,38.8340367,-94.58493
CST BLUE RIDGE CUTOFF & IS 70,112,39.0348653,-94.4776152
CST W 103RD ST & CST WORNALL RD,111,38.9415678,-94.596733
CST E 39TH ST & CST TROOST AVE,111,39.0560798,-94.5721416
CST CLEAVER II BLVD & CST ELMWOOD AVE,110,39.0381506,-94.5314226
CST E 63RD ST & CST PROSPECT AVE,109,39.0124139,-94.556185
CST N BOOTH AVE & MO 152,108,39.2449312,-94.4768022
CST BLUE RIDGE BLVD & IS 470,107,38.8993734,-94.53876640000001
CST E 75TH ST & US 71,107,39.0966226,-94.5729289
CST ROANOKE PKWY & CST WARD PKWY,107,39.0395095,-94.59744769999999
CST PROSPECT AVE & CST TRUMAN RD,106,39.0947472,-94.55162849999999
CST THE PASEO & IS 70,105,39.0261493,-94.5675748
CST E 23RD ST & CST HARDESTY AVE,103,39.0832846,-94.5199109
CST JACKSON AVE & CST TRUMAN RD,102,39.0940469,-94.5332315
CST GRAND BLVD & IS 670,102,39.1055374,-94.5808393
CST BLUE RIDGE BLVD & CST E 87TH ST,102,38.9664056,-94.4996195
CST E 23RD ST & CST PROSPECT AVE,101,39.08459430000001,-94.5521614
CST ADMIRAL BLVD & CST THE PASEO,100,39.1053092,-94.5637357
CST OAK ST & CST TRUMAN RD,97,39.09614759999999,-94.5787409
CST DR MARTIN LUTHER KING JR BLVD & CST PROSPECT AVE,97,39.0388558,-94.5544821
CST HARDESTY AVE & CST TRUMAN RD,97,39.0941209,-94.5193675
CST BELLEVIEW AVE & CST WARD PKWY,96,39.0380713,-94.598658
CST LINWOOD BLVD & CST MAIN ST,96,39.0683143,-94.58543309999999
CST TRUMAN RD & US 71,96,39.0966226,-94.5729289
CST FRONT ST & IS 35,93,39.1310685,-94.5321119
CST E 31ST ST & CST PROSPECT AVE,93,39.0698719,-94.55282779999999
CST EASTWOOD TRFY & IS 435,92,39.0311131,-94.5028221
CST E MEYER BLVD & CST PROSPECT AVE,92,39.00742169999999,-94.55643189999999
CST BANNISTER RD & IS 435,92,38.955589,-94.5858205
CST PROSPECT AVE & IS 70,91,39.111457,-94.551846
CST E 75TH ST & CST TROOST AVE,90,38.9915671,-94.57568099999999
CST GREGORY BLVD & IS 435,90,38.9987899,-94.5828728
IS 35 & RP 6072,90,37.9418219,-96.7515814
CST BANNISTER RD & CST BLUE RIDGE BLVD,89,38.9523789,-94.5078731
CST E 63RD ST & CST TROOST AVE,89,39.0132517,-94.5745753
CST E 87TH ST & IS 435,89,38.9705344,-94.597681
CST PENN VALLEY DR & CST W 29TH ST,89,39.07477919999999,-94.5897864
CST BROADWAY BLVD & IS 670,89,39.1055277,-94.5884531
CST E 23RD ST & CST VAN BRUNT BLVD,88,39.0833249,-94.52107009999999
CST N BRIGHTON AVE & CST NE VIVION RD,88,39.1881618,-94.5178904
CST HARDESTY AVE & CST INDEPENDENCE AVE,88,39.1052205,-94.51912130000001
CST BROADWAY & CST WARD PKWY,88,39.0000236,-94.6030197
CST MEYER CIR & CST WARD PKWY,87,39.0000236,-94.6030197
CST WORNALL RD & IS 435,86,38.9669343,-94.5954431
CST SOUTHWEST TRFY & CST W 31ST ST,84,39.0713843,-94.5946159
CST RED BRIDGE RD & US 71,84,39.0966226,-94.5729289
CST STERLING AVE & IS 70,84,39.0377938,-94.4480519
CST INDEPENDENCE AVE & CST WHITE AVE,82,39.1049286,-94.5112099
CST CHOUTEAU TRFY & CST FRONT ST,82,39.1307405,-94.5227809
CST GREGORY BLVD & CST PROSPECT AVE,82,38.9980425,-94.5569108
CST E 23RD ST & IS 435,80,39.0851747,-94.57639329999999
CST SOUTHWEST TRFY & CST WESTPORT RD,80,39.0502265,-94.5978047
CST BLUE RIDGE BLVD & CST LONGVIEW RD,80,38.915533,-94.51321879999999
CST BANNISTER RD & CST HOLMES RD,79,38.95558949999999,-94.5820031
CST STADIUM DR & IS 435,78,39.0569784,-94.49632
CST W 20TH ST & IS 35,78,39.0891404,-94.5844233
CST N BOARDWALK AVE & CST NW BARRY RD,77,39.2467902,-94.6549247
CST MANCHESTER TRFY & IS 70,77,39.0436961,-94.5116174
CST CLEAVER II BLVD & CST PROSPECT AVE,77,39.0410956,-94.55437289999999
CST N OAK TRFY & RP 277199,75,39.0997265,-94.5785667
CST E 9TH ST & CST HARDESTY AVE,75,39.1014698,-94.5190001
CST E 63RD ST & CST THE PASEO,75,39.0130722,-94.56997369999999
CST E 53RD ST & CST PROSPECT AVE,74,39.0301503,-94.5549561
CST BANNISTER RD & CST TROOST AVE,74,38.9552667,-94.57786229999999
CST BROADWAY BLVD & CST WESTPORT RD,74,39.0532849,-94.59055409999999
CST E MEYER BLVD & CST TROOST AVE,74,39.0114829,-94.5746748
CST HOLMES RD & CST RED BRIDGE RD,73,38.9258623,-94.583348
CST N OAK TRFY & CST NE VIVION RD,72,39.1811499,-94.5767138
CST E 53RD ST & US 71,72,39.0300678,-94.5529839
CST N OAK TRFY & CST NE BARRY RD,70,39.2454839,-94.57591219999999
CST E 31ST ST & CST TROOST AVE,70,39.0705039,-94.5713484
CST N GREEN HILLS RD & CST NW BARRY RD,70,39.2465349,-94.63096809999999
CST E 55TH ST & CST PROSPECT AVE,70,39.0265292,-94.5551787
CST E 39TH ST & CST WARWICK BLVD,69,39.0564934,-94.5837684
CST E 23RD ST & CST JACKSON AVE,68,39.0837213,-94.5337512
CST BENTON BLVD & CST INDEPENDENCE AVE,68,39.1060929,-94.5443497
CST E 75TH ST & CST THE PASEO,68,38.9911686,-94.5661086
CST INDEPENDENCE AVE & CST WILSON AVE,68,39.1050388,-94.51437089999999
CST NW BARRY RD & CST NW PRAIRIE VIEW RD,67,39.2469902,-94.66129719999999
CST TRUMAN RD & IS 70,67,39.0964156,-94.58377469999999
CST BLUE RIDGE BLVD & CST E 107TH ST,67,38.9305508,-94.50773769999999
CST E 85TH ST & CST HOLMES RD,67,38.9737364,-94.581199
CST E 39TH ST & CST MAIN ST,65,39.0565773,-94.5861077
CST E 63RD ST & CST ROCKHILL RD,65,39.0133506,-94.576882
CST N CHATHAM AVE & CST NW 64TH ST,65,39.2104782,-94.6428655
CST E WINNER RD & IS 435,65,39.1065577,-94.4874581
CST W BRUSH CREEK PKWY & CST WARD PKWY,65,39.0332566,-94.6056471
CST CLEAVER II BLVD & CST TROOST AVE,65,39.0416745,-94.5729545
